date,pm10,pm2_5,us_aqi
2026-08-21 16:00:00+00:00,66.4,63.1,120.937515
2026-08-21 17:00:00+00:00,68.5,65.4,120.69793
2026-08-21 18:00:00+00:00,68.0,65.2,120.333336
2026-08-21 19:00:00+00:00,66.4,64.0,120.69793
2026-08-21 20:00:00+00:00,62.9,61.0,121.81251
2026-08-21 21:00:00+00:00,58.3,56.6,123.239586
2026-08-21 22:00:00+00:00,55.1,53.4,124.822914
2026-08-21 23:00:00+00:00,54.1,52.6,126.46874
2026-08-22 00:00:00+00:00,51.1,49.4,128.03123
2026-08-22 01:00:00+00:00,44.6,42.1,130.27084
2026-08-22 02:00:00+00:00,31.0,28.1,131.625
2026-08-22 03:00:00+00:00,29.3,27.3,131.72916
2026-08-22 04:00:00+00:00,31.8,29.7,131.34377
2026-08-22 05:00:00+00:00,33.4,31.4,130.77084
2026-08-22 06:00:00+00:00,34.6,32.6,130.1875
2026-08-22 07:00:00+00:00,35.3,33.2,129.62498
2026-08-22 08:00:00+00:00,35.7,33.6,129.17706
2026-08-22 09:00:00+00:00,35.9,33.6,145.79082
2026-08-22 10:00:00+00:00,36.6,34.5,172.03442
2026-08-22 11:00:00+00:00,39.0,36.9,183.99236
2026-08-22 12:00:00+00:00,51.8,49.0,181.60077
2026-08-22 13:00:00+00:00,52.7,50.1,169.16454
2026-08-22 14:00:00+00:00,52.6,50.2,150.03189
2026-08-22 15:00:00+00:00,54.9,52.5,126.12499
2026-08-22 16:00:00+00:00,59.1,56.7,125.36456
2026-08-22 17:00:00+00:00,61.2,59.0,124.6979
2026-08-22 18:00:00+00:00,58.1,56.1,124.03124
2026-08-22 19:00:00+00:00,52.5,51.0,123.08333
2026-08-22 20:00:00+00:00,47.8,46.6,121.72916
2026-08-22 21:00:00+00:00,44.0,42.8,120.22917
2026-08-22 22:00:00+00:00,41.3,40.3,118.791664
2026-08-22 23:00:00+00:00,40.9,39.7,117.42708
